Destination,Origin,flow2000,flow2005,flow2010,flow2015,flow2019,increase_rate_2000_2005,increase_rate_2005_2010,increase_rate_2010_2015,increase_rate_2015_2019
China,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Iran (Islamic Republic of),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Japan,4917.0,5424.0,5932.0,6826.0,7194.0,10.311165344722392,9.365781710914455,15.0708024275118,5.391151479636683
China,Republic of Korea,134524.0,148413.0,162303.0,186786.0,196874.0,10.324551752847077,9.35901841482889,15.084748895584186,5.400833038878717
China,Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,United States of America,19286.0,21277.0,23268.0,26777.0,28223.0,10.32355076221093,9.357522207078066,15.0807976620251,5.400156851028868
France,China,44375.0,70951.0,103338.0,114475.0,121172.0,59.88957746478874,45.646995814012485,10.777255220731966,5.8501856300502295
France,Germany,182688.0,222726.0,219388.0,208540.0,220741.0,21.91605359957961,-1.4987024415649723,-4.944664247816653,5.850676129279755
France,Iran (Islamic Republic of),24869.0,20643.0,21399.0,23705.0,25091.0,-16.993043548192528,3.6622583926754833,10.776204495537174,5.846867749419954
France,Italy,555528.0,373839.0,345189.0,324282.0,343255.0,-32.705642199853116,-7.6637268984776865,-6.056681991604599,5.8507718590609405
France,Japan,19232.0,18116.0,20073.0,22236.0,23536.0,-5.802828618968386,10.802605431662618,10.775668808847707,5.846375247346645
France,Republic of Korea,19409.0,17773.0,19439.0,21535.0,22794.0,-8.429079293111442,9.373769200472628,10.782447656772467,5.8462967262595775
France,Singapore,1436.0,2189.0,2144.0,2374.0,2512.0,52.437325905292475,-2.055733211512106,10.727611940298507,5.812973883740522
France,United States of America,42863.0,47875.0,50621.0,56076.0,59356.0,11.693068613956093,5.735770234986945,10.776160091661563,5.849204650831015
Germany,China,49190.0,67622.0,82817.0,86291.0,119093.0,37.4710306972962,22.470497766998907,4.194790924568627,38.01323428862802
Germany,France,106502.0,112952.0,117963.0,122911.0,134829.0,6.056224296257348,4.436397761881153,4.194535574714106,9.6964470226424
Germany,Iran (Islamic Republic of),104331.0,108310.0,111268.0,115936.0,127177.0,3.8138233123424485,2.7310497645646756,4.195276269906891,9.695866685067625
Germany,Italy,498084.0,410250.0,335329.0,349395.0,578841.0,-17.634374924711494,-18.26227909811091,4.19468641244867,65.6695144464002
Germany,Japan,31276.0,28874.0,26764.0,27886.0,31157.0,-7.680010231487403,-7.307612384844497,4.19219847556419,11.729900308398479
Germany,Republic of Korea,21442.0,22655.0,23592.0,24582.0,26965.0,5.65712153717004,4.135952328404326,4.196337741607325,9.694085102920837
Germany,Singapore,1062.0,1743.0,2308.0,2405.0,2638.0,64.12429378531074,32.41537578886977,4.202772963604852,9.68814968814969
Germany,United States of America,109838.0,110843.0,111303.0,115973.0,127218.0,0.914983885358437,0.41500139837427713,4.195753932957782,9.69622239659231
Iran (Islamic Republic of),China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iran (Islamic Republic of),France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iran (Islamic Republic of),Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iran (Islamic Republic of),Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iran (Islamic Republic of),Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iran (Islamic Republic of),Republic of Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iran (Islamic Republic of),Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iran (Islamic Republic of),United States of America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,China,74865.0,137633.0,194677.0,200372.0,228231.0,83.84158151339078,41.446455428567276,2.9253584141937674,13.903639231030285
Italy,France,46478.0,90429.0,137725.0,127941.0,132810.0,94.56301906278239,52.3018058366232,-7.104011617353422,3.8056604216005816
Italy,Germany,55640.0,137808.0,222661.0,214330.0,218158.0,147.67792954708844,61.573348426796706,-3.741562285267739,1.7860308869500303
Italy,Iran (Islamic Republic of),8971.0,11701.0,14360.0,14925.0,17059.0,30.43139003455579,22.724553456969492,3.934540389972145,14.298157453936348
Italy,Japan,7130.0,7707.0,9489.0,8127.0,8843.0,8.092566619915848,23.12183729077462,-14.3534619032564,8.810139042697182
Italy,Republic of Korea,3896.0,3913.0,4683.0,3803.0,4264.0,0.4363449691991786,19.67799642218247,-18.791373051462738,12.122008940310282
Italy,Singapore,208.0,388.0,581.0,553.0,621.0,86.53846153846155,49.74226804123711,-4.819277108433735,12.296564195298371
Italy,United States of America,26750.0,40484.0,57242.0,51058.0,54184.0,51.342056074766354,41.394131014721864,-10.803256350232347,6.122448979591836
Japan,China,335600.0,648120.0,687156.0,714570.0,784763.0,93.1227651966627,6.02295871134975,3.9894871033651746,9.82311040205998
Japan,France,5371.0,8545.0,9060.0,10672.0,12206.0,59.09514056972631,6.026916325336454,17.792494481236204,14.37406296851574
Japan,Germany,4295.0,5632.0,5971.0,6336.0,7102.0,31.12922002328289,6.019176136363636,6.112878914754647,12.089646464646464
Japan,Iran (Islamic Republic of),6167.0,4566.0,4841.0,4359.0,4879.0,-25.960758877898492,6.022777047744196,-9.956620532947738,11.929341592108281
Japan,Italy,1579.0,2576.0,2731.0,3536.0,4010.0,63.14122862571247,6.017080745341615,29.47638227755401,13.404977375565611
Japan,Republic of Korea,635194.0,532475.0,565989.0,457772.0,475166.0,-16.171279955415198,6.29400441335274,-19.119982897194117,3.799708151656283
Japan,Singapore,1940.0,2369.0,2512.0,2444.0,2735.0,22.11340206185567,6.036302237230899,-2.7070063694267517,11.90671031096563
Japan,United States of America,44859.0,47789.0,50667.0,52271.0,56321.0,6.53157671816135,6.022306388499445,3.1657686462589063,7.748082110539305
Republic of Korea,China,92142.0,243217.0,490407.0,609332.0,620295.0,163.95888954005773,101.63352068317593,24.250265595719476,1.7991833680161224
Republic of Korea,France,1647.0,1467.0,1869.0,2322.0,2363.0,-10.92896174863388,27.402862985685072,24.23756019261637,1.7657192075796728
Republic of Korea,Germany,1208.0,1106.0,1442.0,1791.0,1823.0,-8.443708609271523,30.37974683544304,24.20249653259362,1.786711334450028
Republic of Korea,Iran (Islamic Republic of),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Republic of Korea,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Republic of Korea,Japan,15744.0,14133.0,18100.0,22489.0,22893.0,-10.232469512195122,28.069058232505483,24.248618784530386,1.7964338120859087
Republic of Korea,Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Republic of Korea,United States of America,25592.0,33075.0,53619.0,66621.0,67819.0,29.239606126914662,62.11337868480725,24.248867006098585,1.7982317887753112
Singapore,China,250198.0,299651.0,365797.0,448566.0,380145.0,19.76554568781525,22.07434648974974,22.627030839509345,-15.253273765733471
Singapore,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,Iran (Islamic Republic of),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,Republic of Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,United States of America,4858.0,9340.0,14344.0,17161.0,14543.0,92.260189378345,53.57601713062099,19.63887339654211,-15.255521240020977
United States of America,China,1348465.0,1607654.0,1922950.0,2676697.0,2899267.0,19.22104021980548,19.612180232811287,39.19743103044801,8.315098795268945
United States of America,France,154992.0,155257.0,160300.0,173561.0,189395.0,0.17097656653246618,3.248162723741925,8.272613849033062,9.123017267704151
United States of America,Germany,724649.0,682498.0,660214.0,585298.0,563411.0,-5.8167471424096355,-3.265064513009562,-11.347229837598112,-3.739462632710175
United States of America,Iran (Islamic Republic of),290417.0,314199.0,348249.0,394223.0,403136.0,8.188914560786731,10.837080958246208,13.201473658215818,2.2609030929194898
United States of America,Italy,485357.0,438874.0,404664.0,352492.0,340419.0,-9.577074194870992,-7.794947980513769,-12.892671450882709,-3.425042270462876
United States of America,Japan,356364.0,355980.0,366522.0,335767.0,351166.0,-0.10775499208674276,2.9614023259733693,-8.391037918596973,4.586216036715937
United States of America,Republic of Korea,886067.0,990111.0,1127266.0,1060019.0,1083794.0,11.742227167922968,13.852487246379447,-5.965495277955691,2.2428843256583137
United States of America,Singapore,21289.0,24653.0,28863.0,36132.0,39018.0,15.801587674385834,17.077029164807527,25.18449225652219,7.987379608103621
